source_id,x_ref,y_ref,filename,flux,flux_err,mag,mag_err,snr,sky_bkg,temporal_snr
110,982.451245,507.872269,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,12566.042159,115.393803,-10.247996,0.009970,108.897028,9.545320,29.503975
111,998.865836,508.470747,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,24637.722039,160.044526,-10.979001,0.007053,153.942923,12.433542,30.640847
113,800.264734,517.259629,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,10310.367083,103.999211,-10.033185,0.010951,99.138898,6.435828,27.120522
114,695.147451,533.609906,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,22554.953608,153.119204,-10.883105,0.007371,147.303232,11.338670,34.767266
115,735.996240,536.440894,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,402039.406415,638.367246,-14.010672,0.001724,629.793288,69.688649,37.211708
116,556.986903,545.326144,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8238.990803,93.223300,-9.789685,0.012285,88.379094,5.749860,26.527574
118,490.717961,554.914957,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2878.756714,58.163067,-8.648012,0.021936,49.494583,6.419490,10.720318
120,591.132364,565.463092,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2194.192686,54.484713,-8.353187,0.026959,40.271712,9.859856,9.483848
121,598.795626,566.307381,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,4184.377556,70.937445,-9.054077,0.018406,58.986866,10.793806,15.572088
127,559.995377,603.186712,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,15574.846874,127.234590,-10.481059,0.008869,122.410477,7.815069,31.977026
129,625.151185,608.589160,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5913.767948,81.295635,-9.429661,0.014925,72.743979,8.851718,21.204629
131,562.969877,622.295466,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,2051.209970,50.706133,-8.280025,0.026839,40.452897,6.619597,7.499083
136,624.762207,663.663230,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,351676.557910,596.626934,-13.865359,0.001842,589.441304,54.585572,35.766197
139,752.616559,679.204746,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3755.592194,66.159482,-8.936696,0.019126,56.765744,7.912991,16.053877
142,556.862636,699.810853,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,3703.012374,69.239888,-8.921388,0.020301,53.480912,13.892950,14.653830
143,548.416241,708.470547,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,11880.911629,114.379959,-10.187124,0.010452,103.872319,15.302600,34.332634
144,867.534533,708.067848,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,126904.419053,359.627553,-12.758692,0.003077,352.877353,30.908628,33.457908
147,474.579304,721.118435,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8835.704615,97.424846,-9.865603,0.011971,90.692518,8.351127,27.754673
148,636.329879,730.614106,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,19943.783890,144.610612,-10.749519,0.007872,137.913695,12.330628,36.916647
158,895.933694,787.631681,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,7381.066860,91.059665,-9.670298,0.013394,81.057478,11.596612,27.533406
159,903.505113,789.274386,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,6266.711477,86.147110,-9.492599,0.014925,72.744303,14.700990,24.367595
160,596.654366,791.134479,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5887.929446,83.536251,-9.424906,0.015404,70.483525,13.883095,16.723134
162,600.060773,802.913741,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,5930.300065,82.414678,-9.432692,0.015088,71.956843,10.973785,19.947202
164,721.182150,812.275056,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8184.325118,93.429791,-9.782457,0.012394,87.598667,6.936618,24.820697
165,721.172688,812.632289,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,8243.100573,93.538502,-9.790226,0.012320,88.125214,6.447059,24.645710
167,884.570110,839.818923,018993_00000_CN2025A-65_cycle_0_pointing_0_calibrated_bgsub.fits,28114.201353,169.536025,-11.122314,0.006547,165.830250,7.999284,33.709347
